text_code,sent
"[1069    2    1 6227    7  159    0  125    5   23    0   15    0 6232
  361    0    0  263    0]",negative
"[   2   82   27    8   63    0 1654   14  278    0  990    0 6088 2416
    0   16    0    1   40   33   16   48 1330    5    0    0    0  770
    0    0    0]",negative
"[   0    9    0 3954    0   16 1175   15    0    0    0  178    0 1770
    2 6358  535  882    0  278    0    1 5799 5851 2879    0    0    0
    0    4    4    0]",negative
[ 300    0    2    0   17    9    0 4333  103    0    2],negative
"[   0    0   63    0   52    0    0    6 5692  357    0   19    6 4400
    0  581    0  675    5  193    0    0  247    0    2    2]",neutral
"[ 991    0    0    9   21 2756   42 1334 4618    0  611    0   15    0
    8    0   63    0  673  816 2717 1654    0    6    2]",positive
"[   2    2    0   19    0 5905    5  235    6    0   35    7  472    1
   24    0 2728  332    0  207    0    6]",negative
"[   2   40 1171   10  223 2873    0    0    0    6  538    0   19 7127
   16  232 7035    0    3]",negative
"[  17  444    0   24  217 1241    0    2 1782  470    4    0 3742  996
  996 6973    0  750    0 1240   35    7 1791    0 1316    0 1616    0
    0    0]",positive
"[  83 3760    0 6930    0    0   69 6938    0  239    0    0  671 1043
  543 3619    0    0    0 6995    0    2    9   13  821    0    0    4
    0]",negative
[  53  114    0 1587   18    0   33    0  788    0    6    2    2    3],positive
"[ 198    2  488  671    4    0   20  351  816    0  106   15   51    0
   25    0   37 1588    1 3543  687  593    0 3457    0    0]",negative
"[   2    2  491  103    4 2936    0   26    0  802    0 7249    0  882
   17  212    8 1579  312   33    0    0  263  267    0 3737   42 7183
 1662    0]",negative
"[   2    2    1  457    0  391    0  133    0    9    0    1 7190    0
 3628    0    5   54  218  309    8    0]",neutral
"[3645    7 1294    0   17  281    1 3004    0    0    0    0 1752   84
  106    4    4    0    2    3    3]",positive
"[   0   16    0    0 3081 2442    0    0    2 2402    1  814 6660  537
    0    0    2    0 6669    1  537    0    0   59  257 2444    0  271
    0  339    0]",neutral
"[   0   38   69  400 3544    7   93 3597 2352  361   10    2    5    2
    0  139    4    0  985    0    3]",neutral
"[   7    1   24   33    2   48    0    0  613 4320 2362    0    0    0
  209  228    0    2   13    0 4584    0    6    3]",negative
"[   6    2   24  614 1033 6882    0   45 4025    0   26    0    2  705
    0 1032    1  804    0 1181    0  233    6    2]",negative
"[   6    7    2    0  903    1   12 1846 1501 3066 1851    0    2    7
    0    0    6  435    0    2]",positive
"[ 259    4  252 1853    7   76    0  283 6797    0    0    0    1  508
    9  778    8    3    0    2    2    6    2]",positive
"[   2  481    7    4   48   99 1095    0    0    1  366    7    0  561
   96   86 1047    0    0  559   21  605    1 3071    0    9  391    7
 4690    0]",negative
"[  2   2   2   2 850 192   0  28   8   0  74   0   0  19   0   0   1 557
   0  71]",positive
"[ 207   17   30    6    4    0    2  468    4    0    0    1  221 3506
  199   73 3313   58    0    0   59  257  357 1293    3]",negative
[   2    2    2 5400    1 5371  573    5    8    9  394   42  658    0],positive
"[   2    0   13    0 2338 1099    0    2    0  203    0    1   31    0
    0  542  605   22    7 3186    0    6]",positive
"[   2    2    2    1 1801  178    0    0  671  361    0    8    0   86
    0  776    0 2452 3604    9    0  196    0    0    0]",neutral
"[ 380    2    0 3467    0 1101    0    2    4   76    0  486    0   15
    0  448    0   99 1244    0  675    0  236 1567    0    1 5321    0]",negative
"[   2    2    0    0   69  485 3721    0   43    0   26    0  215    4
    0  322    0 3721    0    0 2811    0 2785    0    9  339    0  214
    4   10 2386]",negative
"[   2    0    0 1808   14    0  695  342    0  307    1  698  536    7
 1809    0  991  612    0   40  365    0]",negative
"[   2    2    2    2   14    0 5566    5 5567 3355 1513    0    0 1050
   82  125    1 2654    9    0    9   21    0    0]",neutral
"[   2    6    6 5481    4    6    5    2 5534    0   15    6 5537    9
    0    1 1816    0  386 5522    0    0  103    0]",neutral
[   2    8    9   58    0 1818   16    0    0    0    3],negative
"[  83    4  652    0  264    0  623   10    2    0 1521    4    4    4
    4    0 5021    0  341    0  533    0  363  207    0   59   33    0
    6]",negative
[  2   0 623  10 481   7   4 652  51   0   0 263   0],negative
"[2849 2883   10    0    6  163   51    0    5   14    0    0  486    0
    2  278    0  481    0    0  686  360  279  554    0 1818    1  681
    0]",negative
"[   2  387    8   38    0 1110  614    0  141   96    0  252    0   42
 1110    0  386   14    0   48    0    0 2787    0   59  257  639    0]",negative
"[   2    2    2    2    0  316  641    1  461  449    0 5077 4932   15
    0    0  358    0  157    0   94    0    0]",positive
"[3975   49   68    0 4908    7    0   10    2    5 4034 2540 4012   22
  188    0  225    0 4960    0    0    0    0    0]",positive
"[   0 5204    0 5207   57    0    0    0 2334   10    2    2 5185   11
    0    0    0  199 5265    0  644  256    0]",positive
"[  13    8  387    1  244    0   93   84 2411    0    0   88   12   10
 2365 4259    0    2 5102   51    7  214    0    0    0    0    3]",positive
"[   2    2  989  671 1567 1718    0    0    0   23    1    0    0    0
    0    5 5103    0   13  351    4    0    0  388    0  350  218   37
    0  163    1   24   33    0]",negative
"[ 363   29    0  478    0    2    0 1275    0    0    0   30    0  240
    0   42 1171    0  103    1  366    0    0    0    0    0    0    9
    0  391  141   42  978   27    0    0    0    4    4    0]",negative
[  0   0 256   0 979  27   6   6  29   2  11   0 336   0   3   6   6   3],positive
"[5127 5172   38    0    4   16   31    2  300    0    2    2    6   10
    0   36   73  576    0    3]",positive
"[   2    1  366   19    0  205 4168    5 9465    5 2459    0 9431  339
    0    2    9  642    0   30    2   48]",negative
"[   0  384    2   20 4064    1 2438  844    0  291  197    0 1782  856
    0    0  538   21    0    3]",negative
"[   2  485  575    4    0 9374 9354    0 1255    0    0 4183    0    0
   16    0    1   59 1061   54   94    0    0  926    0    0    0    0
    3]",negative
"[  74   57    0  489   11    0   15   69   74    0    0  773  101    0
 9348    0 9406  453   10    2    5    2    0    3]",neutral
"[   2    0    7    0 1351   33    0    0    0   44   27    0 9420 3919
    0    0   26    0 3155 4016 9640  286    1   71  278    0 1727    3]",negative
"[  75   31  114    0   16  390    0 2541    0   38    8   10    0    0
    6    2    2    2    2    2    2]",positive
"[   3    0    0 1725    4    1 9703 9705    7  611  146   10    2    7
  231   12 9712 1610    0    0    6    6]",positive
"[ 198    8   66   93  848   26 3936   38   51  271    0    1  855    0
  336    0    0  139    4   10    2   29    2    3]",positive
"[   0    0   17   99  484    7    1   12   33   14    0  532  591    0
   19    0 9687    0    0    0  787    0  537    0    2    2    2]",negative
[ 51   0   0 332   0  37   0   2   2   2 481 740   7  27   1  12  33   0],negative
"[1689    1   18    0    1  366   10    2   16    0   21   82    0  693
    0  853    0   53]",negative
"[   2    9   17 9532 1683 2525    0    3    0  230    2    0    6    6
    3]",positive
"[   2    0    0 2399    0    1   12 2457  726    0    2    4    0    0
    4  285  251    0    0  102    0   85    8    0    0   26    0 4604
 9600    0]",positive
"[ 287   30    2    9   69    0    0    1 4622 2440  611    0    0    6
    6    3]",positive
"[   2    2    2    2    2    2 2437 4648   20    0   24  663    4    0
    0 9597   15  337  238    0]",positive
"[1203 9064 1099 4374    6   10    2    6   12 1345    0  722  130    0
  246    0]",positive
"[   2    2    7    1   40   33    0   13   99 1955    7  297    0 2872
  238 9039    0    0  430    0    1  366  237    0  555    0]",negative
"[   0  429    8    2    0 2890   77   96  236  265 9049  712    2  575
    0  493   40    0  317   25  653    6    4    0 1995 4453]",negative
"[9113  720   10    2 9114    0 4473    0  366    0   26    0 4487    0
   51    0  623    0  868   12 1908    0  559    2   21 1499    0    0]",negative
"[   2    2    1 2438 9122  287 1095    5  206  983   21 9123    0    0
 4476    9    0  205 1415    0    6    4    4   48    0 9128  240    0]",negative
"[   2    2    2    2    2 3155  739 9087    0    1   24 1525    0 9088
 1532  330 3155  808 1539    0 8971]",neutral
"[   2    2    2    0    0  530   36  443    1   71    0  473  348 8973
    0    2    0    0 1249 1145    0  300    0]",positive
"[  13    0 1937    0    2   14   22 1026   26  282    1 4469    9    0
    0 8941    0    0    0    0    0  297    0    0    0    0    3]",neutral
"[  59 1908   17 8942    0    0    0    0 1083 4669    0   82    2 1345
  711 2719    0    0  516    0]",negative
"[   2    9    8  250  330 1921    0  671   45  206 1925  671    4    0
    0  286  994 1925    0]",negative
"[4320   42   64    0    1  163  197    0 4598    4   93 1149 1931    0
    2    0    6    3    3]",positive
[9013 4553   10    2    6    6   40    0    0   51  407    0    3    2],neutral
"[   2    8  350    9 2418    0   80   10    1 8994   15    1  671    4
 2705  687 1560   63 3418    0   18    0  377    0]",neutral
"[   0   25    0  192    0  868    0    2    6  146   11    0   96 1391
    0    6    7    1  260    0    0   26    0   96    6    3]",positive
[175 561   0   2   6  10   2   5 368   0  75 993   7  11   0 873   3],positive
"[   6    4    4    0    1   40  330    0 9269 2773   29    0  267    0
    2 1394    0   23 1395    0    0    0    0    3]",positive
[   2    2    0    9   13  781   14 9255    0    0  225   27   33    0],neutral
"[   2    2   19    0 3223    0    1   12    0   19  102    0  402   27
   79  628]",positive
"[   0 9252   29    2   10 9318    0    0   79  567    0 3715  178 2777
 1503    0  500 3436 1956    0    3]",negative
"[ 312   33    0  339    0 9289    0   62    0 9290   29    2  742    0
    0    9   13    0  372    0  376    0  687    0   15    0   19  226
  535    0 1116    0]",positive
"[   2    2  250   13    0  240    0   16  843    5   28    0    1 2496
 2433    9 9293    0   42 2496    0    3]",neutral
"[ 141  209    2   63    0    0  697    0 2432    0    2 2435    0 2485
    0   69   21  245  141 2435 1321  351    0    1   24  284    0]",negative
"[  23 9295 9297  178   66   27    2  214  273 1227  821 1110   29    2
    2    2    0   26    0  829   77    0    3]",positive
"[   2  141    0    1   52 9161   87  407  232   64    0    1 2461   43
    0  141   61    0    8   17  291    0    0    0    7  214    0]",negative
"[   2    2   75  993    0   23 1149 9174    0    9    1   73 1149  215
    0]",positive
"[   5    2 1003    0 3472    0  258    0    5  288  639   13   99 9142
    7    1 1238   33    0 1119  285    0    0    0    3]",negative
"[240   2   0 422   1  24   6 366   0   0 628  29   6   5   2  69 351   0
   0   0   3]",positive
"[   2    0  614   19  291    0    0    4 9144  374    1  821    0    1
 1616    0   64    7   44    0  198    0    0 1616    0]",negative
"[ 315    8    0    2    7 2553    0    0  336  211    0    1    6    0
 9179   84   68    0    0    3]",positive
"[   2  523   30    2    9   13  497   80   77  130   54  218 9208    0
   10    1  434    0 9210  856    5 3533  639    0  856    0   26    0
    0    0]",negative
"[ 380    2  359    8    0    0   61    0   13 1008  232   68    5    0
 2461   43  229    0  189  235    0  417 1333    0  612 9219    0]",negative
"[   0    2    0   26    0    2 1005    0   85   10    1  223    0    0
    0  209   16   63    2    1   59 3077    0    3]",positive
"[   0    0    2    0   59   33    0 2438 4622 2383    0  711 1320    0
   72    4  632    0    0   43    0  296  201    0    0  186 3809    0
    0    4]",negative
"[178   8 784   0   2  36   0   0   6   0 848   5 979   0   0   6  16 106
   0 231  12   0   3]",positive
"[   6  763    0    0 1002  231   12    0    1    2  146    0    0  225
    0    2    0    6    7    1    0    1  832  424 1026    0]",positive
"[   2    0 1000    0    2    0    5    2    0    0  309   37 1782  201
    1  575    3]",neutral
"[   2    2    0  253   15    0    0  155  192    0  497    0   28    0
   54 2341    0    0    8  213   91    0]",positive
"[    2     6     2    40     0     8   350   448     0   502     0  2438
    14    48     0 10301   687     0     0   695   288     0  2348 10288
   310     0]",negative
"[    0     2  2341    90 10276     4  3387     7     6     6     0     0
    79    10  2372     6     3  2356     0]",positive
"[   14     9    17     0     1   252 10159   806     0  3272     6     2
   282     0  3126     0     1    36     6]",positive
"[    4   285   744    16   260     0     0   304     0     0     0   619
  1271     0     0    31     5  2455     4     0 10142     1    84    18
     0     0    20     1    73   260   217     0]",positive
"[   0  715    0  289    0   91    0    1 1336  306    0    0    0    0
    1  204   14    0    0   63    1 3279  102   76]",neutral
"[  184     1 10127     0 10167     5   307    35 10206     0     0     0
   801   452     0     0    91     0   203     0     1   981   426     0
     6     3]",positive
"[   25     0   424     0     0    31    41     0     0   789     0     0
   303  3598     0   306     0   982  1341     0     0     0     0     0
   192     0     0  1589     0     0     0 10179     0]",positive
"[ 2329     7 10181     0  2410  3587   452     0     0     0     0   208
   454     0    26     0     1 10450 10452    23    63     1   774     7
    11     0     6  2004     0]",positive
"[    2   367     0     0     0    89     0   225    13     0     0     0
     1    12     5 10458     0 10449     0     1    12   212     1 10435
     0]",positive
"[    2    73    18     0     1   925     7     0    20  3685     0 10417
     0  2664 10423     0  1600  2441     0     0     0     0     0   266
     4     0     4     0     0]",positive
"[  141   104   228    58     0   798     0 10425   801   452     0    44
     0     1  2763    43    18     0    54    38  1901    54     9   271
     7     0     0     0   801   452     0]",negative
"[   2  225    0    0   80    0   36  492    0    4  344    0   28    0
    0    0    0 1461 4316    0    7    1   12   33 1021    0 1600 2441
    1   41   83    0]",positive
"[   22    29     0     0     0 10460     5    76   207     0   800     1
   658   359     0     0    47   114     0     0   315  2692     0    25
  2689     0     0     0     0     2]",positive
"[  306     0   345     0   151     0     0     0     0  1678 10496  4259
     0   276  1124     0   191  4458     0    10     1   671   188     0
     0     1    71     0     0     0     0    75    18     0]",positive
"[ 1275 10500   207     0   651    53     0 10502   906     0     0     0
 10498   986   549  1976     0     0     8   377     5     1   907     0
    77   187     4     0     0     0     0  1901   840]",positive
"[   0    0   10 2385 1999    0 1490  761    0   91    0    4    4    0
 1351 1508   38  407    0    3    3]",positive
"[  45    8 1440 1993  221    1   12    0    1    0    0  216   19    0
    1   73  216  251 1477    5  119    0    6]",positive
"[   17  1230     4     0 10464    29  2782     0    37    89     0   290
     7     0     0     0   376  1907    10  1600  2441     0 10471   344
     0     3]",positive
"[    4  4535     0   378   673  1499    10     4  4535     7    22     0
    28     0     0     0 10410     0    47     0]",positive
"[   0   13    4  646  274    0    0    1  795    0    0    7    1    0
    0  216    0   47   41    0 1490  761    0    0    0    0  296    0
    0    0    3]",positive
"[  76    0  191    0    0    0   20    0    4    0    1    0  242 1922
    0    4  139    4]",positive
"[   0    0   19  215    6   10 4043    0   48   21  229  212   15  102
   40    0  477  522    0    2]",positive
"[ 826 3964   52    0   13  274    0  150    9   37 3870   35    0  223
   10    0    0  216   11   41    0  987  291    0   79   75  244    0
    0    0]",negative
"[  359     0     0  3821     1   442   188   345     0  1880     0  3918
     0  2425     7     0     0   216    11     0   710     1 10398     0
   214   556     0     0     6]",positive
"[   0 3036    0    0    0    0    8    0   22    0    0    0   11    0
 1490    0   61    0  524   42  214 1996  519    0    3]",positive
"[2959    0  184    0 2942    0    0    0   11    0    0 4068   21    0
    1 1964   51    0]",negative
"[   2    2    0  163   51    0   61    0   13  236    7    1  260    0
    0   90  905    0    0    0  216    5   96 1018    0]",positive
[ 2  8 22  0  0  0 11 41  0  6],neutral
"[   2    2  171    0   82    0    1 1088    7    1    0    0  216   11
   41    0 1490  296    0]",positive
"[10386     0   404    10     0     0   274     7   106     0    17    22
     0    94     0]",positive
[588  12 845   7   0   0 150   0   0 235   0   0   0],positive
[ 69  25   0 334   0   0  22   0  28   0   0  11],positive
"[  362   794    10     2     0   586    12   751     0     0 10372   616
  1426   924     5     0     0  1457     0     0    15   748     0    37
     0   615]",positive
"[    2  1076     0     0     0   151     0 10373     0   213     0  4136
   130   563     0     0  4119     0     1    24     0     0     1   208
     0     0     0     0]",positive
"[   2    0   30 9849    0 4163    0    0    0    0    0 2354    0  272
  592  507    0  263    0    0 3022]",positive
"[4085 1302    0 3172 9868   80 1661  455  201    0    0    0  220    0
   47    0 1490  761    0   15    1 4284  237    0    0    0    0    3]",positive
"[   0   17 1081    0    0  353    0    0   11    0 1080  437    0    0
    0 3045 1420    0  246    7   16    0]",positive
"[  16   33   11    0    0   19    0 3897    0  587  515   80  757   10
    4    4  265 1702    0    6    6]",positive
[279  28   0   0  10   0  11   0   0   0 298  42 415],positive
"[  44    0   22    0  106    0    0    0    0    0 1460    0 2904 3881
    0 9881 9884    0 1418 9756    0 9758 9766    0   77    0    3]",neutral
"[  0  25   0 189 921   0 305   8  82 256   0   0   0   0  28   0   0  11
   3]",positive
"[   1   18  245 4027 9731   45   42   24 1108    0   76    0  191    0
    0    0    0    0    0   75  106    6    0    0    0    6    6]",positive
"[1107   17   86 2593    0    0   22    0   28    0    0    0    1   12
    0    0    0 9737    0    0    0]",positive
"[1015   27    0    0 9742 1806 1564 4289 9799    0    0    1 2486  474
    1 1431 1806 1564 2405    9    0    0    0    0    3]",neutral
[  0  89 228  22   7   0   0 216   0 664   0],neutral
"[  17 1230    0    0    2    5   86    1 9775 1021    0    0    0    0
    0   17  253 1421   68    0   16 1182    0    0]",positive
"[   7  458    0   43 2458 1842  415    0    0    0    0 9782   97    0
   88   12    0    8   19   13    1 2439    0    0    0    0    3]",positive
"[   0    0  256    0  597   14    0    0  503  452  208 2649   19  184
    1  981  426    0  815 1451    0   53   88   12    0]",positive
"[  44    0    8  410    0   45    8  505    1 1453    0    7    0    0
    0 4609  254 2776  809    0 2398    0    0    0    0 1666 4607    0
    0    3]",neutral
"[   0    0  216  213    0   88    4    0 1187  795  316   86    0    4
  274  598  648    0   17  186    0  360    0  279    0    0   10    0
    0 1271  426]",positive
"[ 9917     0   327   155   813     0     0     0     4     4     0  2836
     0     0    11   133     0     0    52    18     5     0     0   995
     0     0  4293 10044]",neutral
"[ 1433 10054     0     0     0     0     0   478     5  2895    38  4465
     0     0    23     1   197     0 10055  1795     0    28     0     0
     0    88    12     0     0     0     0     3]",positive
"[    2  1794   508   460     0    28     0     0     0  2845   596     0
     0     0   368   110   997     0 10042     0     0     4     0     0
    46  1794   508     0     0    19  4482     0     0]",positive
"[ 198    0   85    0    0    0   17   35    1 4402    0 1806 1564    0
 2486    0    0    0   85    0    0    0    9   13 4436    0    0    0
    0    3]",neutral
"[    0     0  1015  4294 10102    27  1806  1564  2486     0  4402     0
     0    85     0     0     0     9    13  4436     0     0     0     0
     3]",neutral
"[   2 4505   81   67   20  986    0    0    0   72   91   41    0    0
    0]",neutral
"[    0     0    31    41     0     0   289  4588     0    79 10110  2766
  3277     0   306     0     0     0     0   433     5  1722    10   368
     0     0     0   227     0    75     0]",positive
"[ 1391     0     1  1210     0 10074     0     0     0     0     0     0
     0  2744     4     0  1455     0  1130     0     0     3     6     3]",neutral
